SDN 16 Sei Goa;;Sekolah;M87Q+X7V;M87Q+X7V;https://www.google.com/maps/place/SDN+16+Sei+Goa/data=!4m7!3m6!1s0x31fc57b5753d4a6d:0x7fc56e5a861fd56f!8m2!3d0.6649764!4d110.3381586!16s%2Fg%2F11jnlxvzpd!19sChIJbUo9dbVX_DERb9UfhlpuxX8?authuser=0&hl=id&rclk=1;
SD Negeri 1 sekayam;;Sekolah;RCFR+M22;RCFR+M22;https://www.google.com/maps/place/SD+Negeri+1+sekayam/data=!4m7!3m6!1s0x31fc5dc4e21f2b99:0x849703ebaf27f101!8m2!3d0.8241306!4d110.4400098!16s%2Fg%2F11c20cpb3h!19sChIJmSsf4sRd_DERAfEnr-sDl4Q?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
Beduai;;Sekolah;P95V+78P;P95V+78P;https://www.google.com/maps/place/Beduai/data=!4m7!3m6!1s0x31fc594b4dc8e34d:0xe2ad3563e71fb553!8m2!3d0.7082224!4d110.3933241!16s%2Fg%2F11vb6cnc3k!19sChIJTePITUtZ_DERU7Uf52M1reI?authuser=0&hl=id&rclk=1;
SD Negeri 08 Kobuk;;Sekolah Dasar;HGXQ+CC2, Jalan Benua Mawa;;https://www.google.com/maps/place/SD+Negeri+08+Kobuk/data=!4m7!3m6!1s0x31fc4d4df6cd2d79:0x79fae6d8e0f71267!8m2!3d0.5985053!4d110.538523!16s%2Fg%2F11s_cfpm_8!19sChIJeS3N9k1N_DERZxL34Njm-nk?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SDN22. SEKANTOT;;Sekolah Dasar;;;https://www.google.com/maps/place/SDN22.+SEKANTOT/data=!4m7!3m6!1s0x31fdc9357a6d1043:0x71b8787862bdfbde!8m2!3d0.4632905!4d110.7643903!16s%2Fg%2F11nxdnz_64!19sChIJQxBtejXJ_TER3vu9Ynh4uHE?authuser=0&hl=id&rclk=1;
SDN 02 Tanjung Pinang;;Sekolah;Jl. Lintas Malindo;;https://www.google.com/maps/place/SDN+02+Tanjung+Pinang/data=!4m7!3m6!1s0x31fc5917b053d029:0x226e455c5620c21f!8m2!3d0.6004246!4d110.3988291!16s%2Fg%2F11bv6pw860!19sChIJKdBTsBdZ_DERH8IgVlxFbiI?authuser=0&hl=id&rclk=1;3,0 bintang 2 Ulasan
SD NEGERI 24 TUAN;;Sekolah Dasar;976W+532;0822-5196-9088;https://www.google.com/maps/place/SD+NEGERI+24+TUAN/data=!4m7!3m6!1s0x31fd09f1c35d7309:0xf7633d95e046f3c0!8m2!3d0.3603983!4d110.2951364!16s%2Fg%2F11tsv_8wdw!19sChIJCXNdw_EJ_TERwPNG4JU9Y_c?authuser=0&hl=id&rclk=1;
SD NEGERI 22 BORO;;Sekolah;C9Q5+G78;;https://www.google.com/maps/place/SD+NEGERI+22+BORO/data=!4m7!3m6!1s0x31fda86a67128b7d:0x9def75ea454067a4!8m2!3d0.438779!4d110.358198!16s%2Fg%2F11f0wl8g9_!19sChIJfYsSZ2qo_TERpGdARep1750?authuser=0&hl=id&rclk=1;5,0 bintang 5 Ulasan
SD 29 PIR TRANS BORO;;Sekolah;F934+F66;F934+F66;https://www.google.com/maps/place/SD+29+PIR+TRANS+BORO/data=!4m7!3m6!1s0x31fda96b4799965b:0x1644969dfb0b5fbd!8m2!3d0.4536564!4d110.3555058!16s%2Fg%2F11kx14lvcx!19sChIJW5aZR2up_TERvV8L-52WRBY?authuser=0&hl=id&rclk=1;5,0 bintang 3 Ulasan
Sdn Setogor;;Sekolah Dasar;PFG9+8G2;PFG9+8G2;https://www.google.com/maps/place/Sdn+Setogor/data=!4m7!3m6!1s0x31fc5a5e629edac1:0x5e2f01fd6427eba1!8m2!3d0.7257548!4d110.4687698!16s%2Fg%2F11fz2tx687!19sChIJwdqeYl5a_DERoesnZP0BL14?authuser=0&hl=id&rclk=1;3,5 bintang 4 Ulasan
SD Negeri 13 Empiyang;;Sekolah;FMMQ+Q6V;FMMQ+Q6V;https://www.google.com/maps/place/SD+Negeri+13+Empiyang/data=!4m7!3m6!1s0x31fdb7cfc7e3ee3f:0xbed666b21cde7e6!8m2!3d0.4844971!4d110.6880552!16s%2Fg%2F11hz2dq8rx!19sChIJP-7jx8-3_TER5ufNIWtm7Qs?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
Rumah Dinas SD Bungkang;;Sekolah Dasar;VF4P+W8M;VF4P+W8M;https://www.google.com/maps/place/Rumah+Dinas+SD+Bungkang/data=!4m7!3m6!1s0x31fc67007049e5c7:0x73c97fe293faa604!8m2!3d0.8573355!4d110.4857934!16s%2Fg%2F11vrlyqzvk!19sChIJx-VJcABn_DERBKb6k-J_yXM?authuser=0&hl=id&rclk=1;
SDN 01 SERAMBAI;;Sekolah Dasar;HC55+MF2, Unnamed Road;;https://www.google.com/maps/place/SDN+01+SERAMBAI/data=!4m7!3m6!1s0x31fdab31d9711731:0x181c73f63d9e6332!8m2!3d0.5591422!4d110.4086384!16s%2Fg%2F11fv1pxbnx!19sChIJMRdx2TGr_TERMmOePfZzHBg?authuser=0&hl=id&rclk=1;5,0 bintang 2 Ulasan
SDN 12 Pelaman Ungan;;Sekolah;M8WF+567;M8WF+567;https://www.google.com/maps/place/SDN+12+Pelaman+Ungan/data=!4m7!3m6!1s0x31fcf9d4f3d702fd:0xb248e974f58cc6cd!8m2!3d0.695405!4d110.3230531!16s%2Fg%2F11hyk3zs1f!19sChIJ_QLX89T5_DERzcaM9XTpSLI?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
